,"Sales and Profit, Monthwise",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Months,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,,Total Sum of Sales,Total Sum of Profit,,,,
Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,Sum of Sales,Sum of Profit,,,,,,
676313,313566,610240,286103,686681,317186,659404,308365,672547,313751,664560,307585,685152,318703,670788,310443,658844,305334,689116,320749,656663,304716,693073,323402,8023381,3729903,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region wise Sales,,,,,,Product wise sales,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region,Sum of Sales,,Product Category,(All),,,,,,,,,,,,,,,,,,,,,,
,,,Africa,713074,,Country,(All),,,,,,,,,,,,,,,,,,,,,,
,,,Canada,60003,,State,(All),,,,,,,,,,,,,,,,,,,,,,
,,,Caribbean,260495,,City,(All),,,,,,,,,,,,,,,,,,,,,,
,,,Central,1735900,,Segment,(All),,,,,,,,,,,,,,,,,,,,,,
,,,Central Asia,321005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East,446468,,Sum of Sales,Months,,,,,,,,,,,,,,,,,,,,,,
,,,EMEA,788072,,Product,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total,,,,,,,,,,
,,,North,750482,,Apple Laptop,5000,3500,2750,4000,5500,4000,4500,5750,4000,6250,4750,5250,55250,,,,,,,,,,
,,,North Asia,369816,,Bed Sheets,18146,15403,18779,20256,16669,17091,20256,14770,19412,15403,19834,20889,216908,,,,,,,,,,
,,,Oceania,544827,,Beds,7020,5538,7722,6630,6084,6630,7176,7254,6630,6474,6552,6552,80262,,,,,,,,,,
,,,South,1034884,,Bike Tyres,4680,3312,5832,4968,5616,4896,5832,5472,4176,5040,4752,4896,59472,,,,,,,,,,
,,,Southeast Asia,500923,,Car & Bike Care,8614,8378,7788,8496,8850,10148,7434,8378,6372,6608,8142,8260,97468,,,,,,,,,,
,,,West,497432,,Car Body Covers,7488,6084,9360,8424,7722,8424,7020,7722,8892,8073,8892,8541,96642,,,,,,,,,,
,,,Grand Total,8023381,,Car Mat,4050,3726,3564,3888,3942,3942,4698,3240,3402,3564,2862,3726,44604,,,,,,,,,,
,,,,,,Car Media Players,8540,8960,9940,11340,8820,9240,9380,9520,9100,11760,11060,7980,115640,,,,,,,,,,
,,,,,,Car Pillow & Neck Rest,15939,20559,17556,16632,12012,16632,14322,14553,15939,18480,15477,13398,191499,,,,,,,,,,
,,,,,,Car Seat Covers,8094,6270,10260,9006,7752,7866,7296,7638,7182,8208,6042,8664,94278,,,,,,,,,,
,,,,,,Car Speakers,12871,11394,12449,16458,14981,12449,16458,16880,15403,15614,14348,14981,174286,,,,,,,,,,
,,,,,,Casula Shoes,26718,24278,30012,28060,29890,24766,33306,27694,29158,31110,27572,28426,340990,,,,,,,,,,
,,,,,,Curtains,2652,3298,2686,2414,2924,2482,3298,3400,2856,2686,2788,3468,34952,,,,,,,,,,
,,,,,,Dinner Crockery,12768,11837,9842,7980,12502,12369,12635,12103,11438,12369,12768,11438,140049,,,,,,,,,,
,,,,,,Dinning Tables,8687,9877,10710,9877,10591,12019,11305,10710,8568,10591,10234,9282,122451,,,,,,,,,,
,,,,,,Fans,1490,2235,2980,3129,2980,3129,2831,2980,3278,2980,1639,3278,32929,,,,,,,,,,
,,,,,,Formal Shoes,48990,43452,51972,50055,51972,50481,48138,53037,41961,48138,52611,54528,595335,,,,,,,,,,
,,,,,,Fossil Watch,38319,34821,37206,34503,36411,37683,37206,35139,41976,38796,34344,38160,444564,,,,,,,,,,
,,,,,,Iron,3330,4884,3108,3552,3330,3108,3774,3996,4440,5772,5328,4440,49062,,,,,,,,,,
,,,,,,Jeans,51884,41856,55808,45562,52538,51012,50794,52320,51230,54936,46870,54282,609092,,,,,,,,,,
,,,,,,Keyboard,660,231,726,825,561,396,726,726,825,594,726,297,7293,,,,,,,,,,
,,,,,,LCD,975,1300,1040,1105,1170,1105,1365,1170,1105,1430,1365,1430,14560,,,,,,,,,,
,,,,,,LED,2880,2688,3648,4992,4608,2304,2496,3456,3264,4416,4224,4032,43008,,,,,,,,,,
,,,,,,Mixer/Juicer,1826,1660,1411,1411,1162,1245,1660,1328,1577,2241,1909,1162,18592,,,,,,,,,,
,,,,,,Mouse,1776,1998,2553,1776,1776,2553,1887,1887,1887,1887,1998,2553,24531,,,,,,,,,,
,,,,,,Running Shoes,50848,49728,56448,50624,50400,52640,55328,51296,52640,51072,47264,57792,626080,,,,,,,,,,
,,,,,,Samsung Mobile,3740,2420,4840,3740,5500,4620,3520,3960,4180,4620,3740,3740,48620,,,,,,,,,,
,,,,,,Shirts,50764,39592,50568,46452,49196,43512,48216,43512,42728,52332,41356,39396,547624,,,,,,,,,,
,,,,,,Shoe Rack,13392,7440,10540,11656,11532,9052,11656,11036,10664,9176,9424,12028,127596,,,,,,,,,,
,,,,,,Sneakers,16244,11656,15810,13082,14818,13144,15066,13888,14756,13950,15562,15314,173290,,,,,,,,,,
,,,,,,Sofa Covers,18576,16632,18360,18144,18144,21168,19008,19872,21816,12960,17496,19656,221832,,,,,,,,,,
,,,,,,Sofas,4690,5092,5025,5494,5896,6231,6767,6231,5628,6298,5963,5628,68943,,,,,,,,,,
,,,,,,Speakers,2860,3510,3770,4030,2080,1690,2860,3250,2340,2470,2080,2990,33930,,,,,,,,,,
,,,,,,Sports Wear,22270,18955,21505,16660,17850,19975,20740,19890,19380,20400,19635,23035,240295,,,,,,,,,,
,,,,,,Suits,28885,23762,26487,25070,26378,22781,27141,25615,24198,23762,25179,25397,304655,,,,,,,,,,
,,,,,,T - Shirts,54064,55056,55800,54560,59024,55552,59768,61256,59272,62992,57288,58280,692912,,,,,,,,,,
,,,,,,Tablet,4975,3582,3582,2985,3582,3781,2985,2985,3781,3980,3383,4378,43979,,,,,,,,,,
,,,,,,Titak watch,50844,54264,46968,58368,51072,54948,49020,57456,48564,53352,54948,57456,637260,,,,,,,,,,
,,,,,,Towels,24396,16644,21204,19608,17556,18468,20064,16188,18924,19152,21432,20748,234384,,,,,,,,,,
,,,,,,Tyre,17250,17000,18500,16750,21750,23000,19250,14750,18750,20000,17000,19250,223250,,,,,,,,,,
,,,,,,Umbrellas,7350,5600,5180,4970,5950,5740,6930,5880,4760,6580,6370,6720,72030,,,,,,,,,,
,,,,,,Watch,1768,1768,2392,1872,1456,2288,1040,2600,2392,2600,1456,1352,22984,,,,,,,,,,
,,,,,,Grand Total,676313,610240,686681,659404,672547,664560,685152,670788,658844,689116,656663,693073,8023381,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
